title,latitude,longitude
อุบัติเหตุ ปากซอยปรีดีพนมยงค์ 19 (ซอยพาราไดซ์),13.725171868311,100.59585481882
อุบัติเหตุ ถนนพระราม 9 ขาออก,13.755491489533998,100.57425364852
อุบัติเหตุ ถนนพระราม 3 ขาเข้า,13.703785280396,100.54582491517
อุบัติเหตุ ปากซอยเจริญกรุง 30,13.729170155778,100.51572382450001
อุบัติเหตุ ถนนรามคำแหง ขาออก,13.744958100113001,100.60293719171999
อุบัติเหตุ ปากซอยรามคำแหง 3,13.744874727345,100.60284465551001
อุบัติเหตุ กรุงเทพมหานคร,13.762205854544,100.55564582347999
อุบัติเหตุ ถ.นิคมมักกะสัน,13.751790332468,100.55482372642
อุบัติเหตุ ถนนสาทรเหนือ,13.718597800809,100.51566749810999
อุบัติเหตุ มักกะสัน ราชเทวี กรุงเทพมหานคร,13.749561794099,100.54628189653
อุบัติเหตุ มักกะสัน ราชเทวี กรุงเทพมหานคร,13.749554303724999,100.54629933089001
อุบัติเหตุ วัฒนา กรุงเทพมหานคร,13.746132999999999,100.56275500000001
อุบัติเหตุ ทางด่วนขั้นที่ 1,13.747869614893,100.54973557590999
อุบัติเหตุ ถนนหลานหลวง,13.756613060464002,100.51440954208
อุบัติเหตุ ถนนสุขุมวิท ขาเข้า,13.723102998122,100.57995736599001
อุบัติเหตุ บางรัก บางรัก กรุงเทพมหานคร,13.719308176372001,100.51169112325
อุบัติเหตุ พระโขนง คลองเตย กรุงเทพมหานคร,13.705503836034,100.59815615416001
อุบัติเหตุ ถนนสุขุมวิท ขาเข้า,13.729601377888,100.57074800134001
อุบัติเหตุ ถนนพระราม 4,13.723810428709,100.55066764355
อุบัติเหตุ ถนนพระราม 9,13.753523191205002,100.58780148625
อุบัติเหตุ ทางด่วนขั้นที่ 1,13.741606230903,100.55048793554
อุบัติเหตุ ถนนเพชรบุรี,13.752537081847999,100.53364500402999
อุบัติเหตุ ถนนพระราม 4 ขาเข้า,13.736720987808,100.51898941398001
อุบัติเหตุ ปากซอยสุขุมวิท 22 (ซอยสายน้ำทิพย์),13.733507093687,100.56522130965999
อุบัติเหตุ ถนนสุขุมวิท 71 (ถนนปรีดี พนมยงค์),13.729346031961,100.59625715017
อุบัติเหตุ ถนนเกษมราษฎร์,13.711407285064,100.56363880634001
อุบัติเหตุ ถนนเพชรบุรี,13.750011216082001,100.55439591408
อุบัติเหตุ ทางลงสะพานสมเด็จพระเจ้าตากสิน,13.719124149895999,100.51300406456
อุบัติเหตุ พระโขนง คลองเตย กรุงเทพมหานคร,13.704016224256,100.58962203562
อุบัติเหตุ กรุงเทพมหานคร,13.747999557494,100.52080728114001
อุบัติเหตุ สะพานมิตรภาพไทย-ญี่ปุ่น,13.732838775351,100.52861988544001
อุบัติเหตุ ถนนพระราม 4 ขาเข้า,13.737738429498998,100.51629379392
อุบัติเหตุ ถนนเพชรบุรีตัดใหม่,13.746879573660001,100.57557061315
อุบัติเหตุ สะพานข้ามแยกถนนพระราม 4,13.720877769774,100.55926144123
อุบัติเหตุ ถนนเพชรบุรีตัดใหม่ ขาเข้า,13.744365371194,100.58618947864001
อุบัติเหตุ อุโมงค์แยกดินแดง,13.764043169272,100.5478271842
อุบัติเหตุ ถนนรามคำแหง ขาออก,13.742657521899,100.60139492153999
อุบัติเหตุ ถนนกำแพงเพชร 7,13.742884193689001,100.59913381934
อุบัติเหตุ ทางด่วนขั้นที่ 1,13.720232866513,100.55282279849001
อุบัติเหตุ ทางลงสะพานสมเด็จพระเจ้าตากสิน,13.719137178324,100.51319986581998
อุบัติเหตุ ทางด่วนขั้นที่ 1 ขาเข้า,13.747814902197002,100.54979324341
อุบัติเหตุ ทางขึ้นสะพานข้ามแยกรามคำแหง ขาออก,13.752339077883,100.59084042907
อุบัติเหตุ ถนนเพชรบุรีตัดใหม่,13.747181797217,100.57384058833
